Tf_name	Raw_name	Download_link
Chd2	wgEncodeAwgTfbsSydhK562Chd2ab68301IggrabUniPk.narrowPeak	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhK562Chd2ab68301IggrabUniPk.narrowPeak.gz
Cjun	wgEncodeAwgTfbsSydhH1hescCjunIggrabUniPk.narrowPeak	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhH1hescCjunIggrabUniPk.narrowPeak.gz
Cjun	wgEncodeAwgTfbsSydhHelas3CjunIggrabUniPk.narrowPeak	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3CjunIggrabUniPk.narrowPeak.gz
Cjun	wgEncodeAwgTfbsSydhHepg2CjunIggrabUniPk.narrowPeak	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHepg2CjunIggrabUniPk.narrowPeak.gz
Cjun	wgEncodeAwgTfbsSydhHuvecCjunUniPk.narrowPeak	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHuvecCjunUniPk.narrowPeak.gz
Cjun	wgEncodeAwgTfbsSydhK562CjunIfna30UniPk.narrowPeak	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhK562CjunIfna30UniPk.narrowPeak.gz
Cjun	wgEncodeAwgTfbsSydhK562CjunIfna6hUniPk.narrowPeak	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhK562CjunIfna6hUniPk.narrowPeak.gz
Cjun	wgEncodeAwgTfbsSydhK562CjunIfng30UniPk.narrowPeak	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhK562CjunIfng30UniPk.narrowPeak.gz
Cjun	wgEncodeAwgTfbsSydhK562CjunIfng6hUniPk.narrowPeak	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhK562CjunIfng6hUniPk.narrowPeak.gz
Cjun	wgEncodeAwgTfbsSydhK562CjunUniPk.narrowPeak	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhK562CjunUniPk.narrowPeak.gz
Cmyc	wgEncodeAwgTfbsSydhH1hescCmycIggrabUniPk.narrowPeak	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhH1hescCmycIggrabUniPk.narrowPeak.gz
Cmyc	wgEncodeAwgTfbsSydhHelas3CmycUniPk.narrowPeak	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhHelas3CmycUniPk.narrowPeak.gz
Cmyc	wgEncodeAwgTfbsSydhK562CmycIfna30UniPk.narrowPeak	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhK562CmycIfna30UniPk.narrowPeak.gz
Cmyc	wgEncodeAwgTfbsSydhK562CmycIfna6hUniPk.narrowPeak	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhK562CmycIfna6hUniPk.narrowPeak.gz
Cmyc	wgEncodeAwgTfbsSydhK562CmycIfng30UniPk.narrowPeak	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhK562CmycIfng30UniPk.narrowPeak.gz
Cmyc	wgEncodeAwgTfbsSydhK562CmycIfng6hUniPk.narrowPeak	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhK562CmycIfng6hUniPk.narrowPeak.gz
Cmyc	wgEncodeAwgTfbsSydhK562CmycIggrabUniPk.narrowPeak	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhK562CmycIggrabUniPk.narrowPeak.gz
Cmyc	wgEncodeAwgTfbsSydhK562CmycUniPk.narrowPeak	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhK562CmycUniPk.narrowPeak.gz
Cmyc	wgEncodeAwgTfbsSydhMcf10aesCmycEtoh01HvdUniPk.narrowPeak	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhMcf10aesCmycEtoh01HvdUniPk.narrowPeak.gz
Cmyc	wgEncodeAwgTfbsSydhMcf10aesCmycTam14hHvdUniPk.narrowPeak	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhMcf10aesCmycTam14hHvdUniPk.narrowPeak.gz
Cmyc	wgEncodeAwgTfbsSydhNb4CmycUniPk.narrowPeak	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgTfbsUniform/wgEncodeAwgTfbsSydhNb4CmycUniPk.narrowPeak.gz
